id,title,text,label
69,Fake News 19,Shocking news #19: Government plans to implant chips in students to monitor study hours through satellite.,fake
62,Fake News 12,Shocking news #12: Government plans to implant chips in students to monitor study hours through satellite.,fake
98,Fake News 48,Shocking news #48: Government plans to implant chips in students to monitor study hours through satellite.,fake
80,Fake News 30,Shocking news #30: Government plans to implant chips in students to monitor study hours through satellite.,fake
42,Real News 42,The Ministry of Education has launched initiative #42 to enhance digital learning across Indian schools.,real
59,Fake News 9,Shocking news #9: Government plans to implant chips in students to monitor study hours through satellite.,fake
49,Real News 49,The Ministry of Education has launched initiative #49 to enhance digital learning across Indian schools.,real
99,Fake News 49,Shocking news #49: Government plans to implant chips in students to monitor study hours through satellite.,fake
58,Fake News 8,Shocking news #8: Government plans to implant chips in students to monitor study hours through satellite.,fake
76,Fake News 26,Shocking news #26: Government plans to implant chips in students to monitor study hours through satellite.,fake
33,Real News 33,The Ministry of Education has launched initiative #33 to enhance digital learning across Indian schools.,real
95,Fake News 45,Shocking news #45: Government plans to implant chips in students to monitor study hours through satellite.,fake
60,Fake News 10,Shocking news #10: Government plans to implant chips in students to monitor study hours through satellite.,fake
64,Fake News 14,Shocking news #14: Government plans to implant chips in students to monitor study hours through satellite.,fake
85,Fake News 35,Shocking news #35: Government plans to implant chips in students to monitor study hours through satellite.,fake
38,Real News 38,The Ministry of Education has launched initiative #38 to enhance digital learning across Indian schools.,real
30,Real News 30,The Ministry of Education has launched initiative #30 to enhance digital learning across Indian schools.,real
2,Real News 2,The Ministry of Education has launched initiative #2 to enhance digital learning across Indian schools.,real
53,Fake News 3,Shocking news #3: Government plans to implant chips in students to monitor study hours through satellite.,fake
22,Real News 22,The Ministry of Education has launched initiative #22 to enhance digital learning across Indian schools.,real
3,Real News 3,The Ministry of Education has launched initiative #3 to enhance digital learning across Indian schools.,real
24,Real News 24,The Ministry of Education has launched initiative #24 to enhance digital learning across Indian schools.,real
88,Fake News 38,Shocking news #38: Government plans to implant chips in students to monitor study hours through satellite.,fake
92,Fake News 42,Shocking news #42: Government plans to implant chips in students to monitor study hours through satellite.,fake
75,Fake News 25,Shocking news #25: Government plans to implant chips in students to monitor study hours through satellite.,fake
87,Fake News 37,Shocking news #37: Government plans to implant chips in students to monitor study hours through satellite.,fake
83,Fake News 33,Shocking news #33: Government plans to implant chips in students to monitor study hours through satellite.,fake
21,Real News 21,The Ministry of Education has launched initiative #21 to enhance digital learning across Indian schools.,real
61,Fake News 11,Shocking news #11: Government plans to implant chips in students to monitor study hours through satellite.,fake
72,Fake News 22,Shocking news #22: Government plans to implant chips in students to monitor study hours through satellite.,fake
15,Real News 15,The Ministry of Education has launched initiative #15 to enhance digital learning across Indian schools.,real
93,Fake News 43,Shocking news #43: Government plans to implant chips in students to monitor study hours through satellite.,fake
52,Fake News 2,Shocking news #2: Government plans to implant chips in students to monitor study hours through satellite.,fake
